學年度,縣市名稱,鄉鎮市區,學生等級,本校代碼,本校名稱,分校分班名稱,公/私立,地區屬性,班級數,男學生數[人],女學生數[人],原住民學生比率,上學年男畢業生數[人],上學年女畢業生數[人]
112,[13]屏東縣,車城鄉,國小,134725,縣立車城國小,溫泉分校,公立,特偏,6,12,13,16,3,0
112,[13]屏東縣,枋山鄉,國小,134736,縣立加祿國小,枋山分校,公立,特偏,6,19,10,3.45,3,4
112,[13]屏東縣,三地門鄉,國小,134737,縣立地磨兒國小,德文分校,公立,極偏,6,12,10,100,5,0
112,[13]屏東縣,霧臺鄉,國小,134748,縣立霧臺國小,勵古百合分校,公立,特偏,6,40,29,100,5,2
112,[13]屏東縣,泰武鄉,國小,134751,縣立武潭國小,平和分校,公立,偏遠,6,27,24,100,4,10
112,[13]屏東縣,泰武鄉,國小,134751,縣立武潭國小,佳平分校,公立,偏遠,6,21,10,100,3,3
112,[13]屏東縣,春日鄉,國小,134761,縣立古華國小,士文分校,公立,極偏,6,10,8,100,2,0
112,[13]屏東縣,牡丹鄉,國小,134768,縣立高士國小,牡林分校,公立,極偏,6,13,4,100,4,2
112,[14]臺東縣,卑南鄉,國小,144625,縣立富山國小,利吉分校,公立,偏遠,6,14,11,48,2,2
112,[14]臺東縣,大武鄉,國小,144638,縣立大鳥國小,愛國埔分校,公立,特偏,6,10,7,94.12,1,0
112,[14]臺東縣,池上鄉,國小,144653,縣立萬安國小,振興分校,公立,特偏,6,6,8,78.57,0,0
112,[14]臺東縣,成功鎮,國小,144662,縣立三民國小,和平分校,公立,特偏,6,11,5,87.5,0,2
112,[14]臺東縣,成功鎮,國小,144667,縣立忠孝國小,博愛分校,公立,特偏,4,5,2,85.71,1,1
112,[14]臺東縣,達仁鄉,國小,144680,縣立安朔國小,新化分校,公立,極偏,6,6,1,100,2,2
112,[14]臺東縣,海端鄉,國小,144695,縣立初來國小,新武分校,公立,極偏,5,6,6,100,0,2
112,[14]臺東縣,海端鄉,國小,144702,縣立霧鹿國小,利稻分校,公立,極偏,6,9,13,90.91,1,2
112,[15]花蓮縣,玉里鎮,國小,154660,縣立玉里國小,永昌分校,公立,偏遠,0,0,0,0,0,0
112,[71]金門縣,金寧鄉,國小,714604,縣立賢庵國小,垵湖分校,公立,偏遠,6,24,13,0,2,5
112,[01]新北市,瑞芳區,國中,014545,市立欽賢國中,鼻頭分部,公立,偏遠,3,2,1,0,3,2
112,[04]新竹縣,寶山鄉,國中,044517,縣立寶山國中,莒光分部,公立,偏遠,3,10,0,20,4,0
112,[05]苗栗縣,銅鑼鄉,國中,054507,縣立文林國中,文隆分部,公立,偏遠,3,29,23,3.85,19,8
112,[09]雲林縣,褒忠鄉,附設國中,094308,縣立古坑華德福實驗高級中學,國中部潮厝分班,公立,偏遠,3,25,24,0,8,3
112,[10]嘉義縣,番路鄉,國中,104522,縣立民和國中,慈輝分校,公立,偏遠,3,6,8,7.14,7,5
112,[16]澎湖縣,馬公市,國中,164502,縣立中正國中,虎井分部,公立,特偏,2,0,4,0,0,0
113,[01]新北市,坪林區,國小,014682,市立坪林國小,漁光分班,公立,特偏,2,1,1,0,0,0
113,[02]宜蘭縣,大同鄉,國小,024668,縣立四季國小,英士分校,公立,特偏,6,7,14,100,2,0
113,[02]宜蘭縣,大同鄉,國小,024668,縣立四季國小,茂安分班,公立,極偏,6,4,6,100,0,0
113,[02]宜蘭縣,大同鄉,國小,024670,縣立大同國小,松羅分校,公立,特偏,6,18,10,96.43,2,0
113,[02]宜蘭縣,大同鄉,國小,024670,縣立大同國小,樂水分校,公立,極偏,5,4,11,100,2,2
113,[04]新竹縣,寶山鄉,國小,044658,縣立寶山國小,山湖分校,公立,偏遠,6,27,15,2.38,3,9
113,[04]新竹縣,尖石鄉,國小,044667,縣立嘉興國小,義興分校,公立,特偏,6,14,9,100,3,2
113,[04]新竹縣,尖石鄉,國小,044673,縣立秀巒國小,田埔分校,公立,極偏,4,6,5,90.91,1,0
113,[04]新竹縣,五峰鄉,國小,044677,縣立花園國小,竹林分校,公立,特偏,6,4,4,100,2,1
113,[05]苗栗縣,三義鄉,國小,054624,縣立育英國小,龍騰分校,公立,偏遠,6,10,9,0,2,1
113,[05]苗栗縣,通霄鎮,國小,054640,縣立烏眉國小,楓樹分校,公立,偏遠,6,10,17,3.7,4,3
113,[05]苗栗縣,三灣鄉,國小,054664,縣立三灣國小,大坪分校,公立,偏遠,6,20,18,2.63,20,18
113,[05]苗栗縣,泰安鄉,國小,054711,縣立汶水國小,八卦分班,公立,特偏,3,4,2,100,0,0
113,[06]臺中市,和平區,國小,064735,市立德芙蘭國小,谷關分校,公立,極偏,6,21,9,70,1,0
113,[06]臺中市,和平區,國小,064736,市立自由國小,烏石分校,公立,極偏,4,5,6,72.73,1,2
113,[07]彰化縣,溪州鄉,國小,074732,縣立成功國小,西畔分校,公立,偏遠,6,15,12,0,1,3
113,[08]南投縣,仁愛鄉,國小,084734,縣立親愛國小,萬大分校,公立,極偏,6,24,18,95.24,2,0
113,[08]南投縣,仁愛鄉,國小,084738,縣立力行國小,翠巒分校,公立,極偏,6,8,5,84.62,1,0
113,[09]雲林縣,臺西鄉,國小,094675,縣立臺西國小,五榔分校,公立,偏遠,2,3,1,0,0,0
113,[09]雲林縣,麥寮鄉,國小,094702,縣立麥寮國小,海豐分校,公立,偏遠,6,15,19,0,2,4
113,[09]雲林縣,麥寮鄉,國小,094702,縣立麥寮國小,楊厝分班,公立,偏遠,0,0,0,0,0,0
113,[09]雲林縣,麥寮鄉,國小,094703,縣立橋頭國小,許厝分校,公立,偏遠,6,30,24,1.85,5,4
113,[09]雲林縣,口湖鄉,國小,094736,縣立文光國小,湖口分校,公立,偏遠,6,6,12,0,1,1
113,[09]雲林縣,口湖鄉,國小,094736,縣立文光國小,過港分校,公立,極偏,6,12,2,0,0,1
113,[09]雲林縣,水林鄉,國小,094753,縣立水燦林國小,和安分校,公立,偏遠,6,9,5,0,1,2
113,[10]嘉義縣,布袋鎮,國小,104608,縣立景山國小,振寮分校,公立,偏遠,6,10,8,0,4,2
113,[10]嘉義縣,大林鎮,國小,104615,縣立大林國小,排路分校,公立,偏遠,5,5,2,0,6,6
113,[10]嘉義縣,溪口鄉,國小,104632,縣立柳溝國小,疊溪分校,公立,偏遠,6,14,18,0,4,2
113,[10]嘉義縣,東石鄉,國小,104647,縣立東石國小,型厝分校,公立,偏遠,6,18,12,0,6,3
113,[10]嘉義縣,義竹鄉,國小,104668,縣立南興國小,東華分校,公立,偏遠,6,7,12,0,3,3
113,[10]嘉義縣,梅山鄉,國小,104721,縣立大南國小,安靖分校,公立,特偏,6,7,8,0,0,0
113,[10]嘉義縣,梅山鄉,國小,104725,縣立仁和國小,太和分校,公立,極偏,3,3,1,0,1,1
113,[10]嘉義縣,阿里山鄉,國小,104727,縣立達邦國小,里佳分校,公立,極偏,5,6,13,100,1,3
113,[11]臺南市,大內區,國小,114724,市立大內國小,頭社分校,公立,偏遠,6,11,8,0,2,0
113,[11]臺南市,白河區,國小,114753,市立仙草實驗小學,關嶺分校,公立,特偏,6,7,6,0,1,1
113,[11]臺南市,白河區,國小,114755,市立河東國小,六溪分校,公立,特偏,4,5,2,28.57,1,2
113,[13]屏東縣,萬巒鄉,國小,134659,縣立佳佐國小,中興分校,公立,偏遠,6,23,22,11.11,0,4
113,[13]屏東縣,恆春鎮,國小,134717,縣立恆春國小,南灣分校,公立,特偏,6,10,5,0,2,2
113,[13]屏東縣,恆春鎮,國小,134722,縣立水泉國小,龍泉分校,公立,特偏,6,25,22,4.26,1,4
113,[13]屏東縣,恆春鎮,國小,134724,縣立墾丁國小,鵝鑾分校,公立,極偏,6,26,19,2.22,5,2
113,[13]屏東縣,車城鄉,國小,134725,縣立車城國小,射寮分校,公立,特偏,6,22,13,8.57,1,1
113,[13]屏東縣,車城鄉,國小,134725,縣立車城國小,溫泉分校,公立,特偏,6,8,9,23.53,6,4
113,[13]屏東縣,枋山鄉,國小,134736,縣立加祿國小,枋山分校,公立,特偏,6,19,8,7.41,1,3
113,[13]屏東縣,三地門鄉,國小,134737,縣立地磨兒國小,德文分校,公立,極偏,6,8,13,100,5,0
113,[13]屏東縣,霧臺鄉,國小,134748,縣立霧臺國小,勵古百合分校,公立,特偏,6,41,24,100,9,5
113,[13]屏東縣,泰武鄉,國小,134751,縣立武潭國小,平和分校,公立,偏遠,6,28,24,100,1,2
113,[13]屏東縣,泰武鄉,國小,134751,縣立武潭國小,佳平分校,公立,偏遠,6,14,10,100,5,3
113,[13]屏東縣,春日鄉,國小,134761,縣立古華國小,士文分校,公立,極偏,6,6,8,100,0,2
113,[13]屏東縣,牡丹鄉,國小,134768,縣立高士國小,牡林分校,公立,極偏,6,13,4,100,1,0
113,[14]臺東縣,卑南鄉,國小,144625,縣立富山國小,利吉分校,公立,偏遠,6,18,13,25.81,2,1
113,[14]臺東縣,大武鄉,國小,144638,縣立大鳥國小,愛國埔分校,公立,特偏,6,13,11,95.83,0,1
113,[14]臺東縣,池上鄉,國小,144653,縣立萬安國小,振興分校,公立,特偏,4,2,8,90,1,0
113,[14]臺東縣,成功鎮,國小,144662,縣立三民國小,和平分校,公立,特偏,6,9,6,93.33,2,1
113,[14]臺東縣,成功鎮,國小,144667,縣立忠孝國小,博愛分校,公立,特偏,5,4,3,71.43,0,0
113,[14]臺東縣,達仁鄉,國小,144680,縣立安朔國小,新化分校,公立,極偏,5,5,1,100,1,0
113,[14]臺東縣,海端鄉,國小,144695,縣立初來國小,新武分校,公立,極偏,5,5,6,100,2,1
113,[14]臺東縣,海端鄉,國小,144702,縣立霧鹿國小,利稻分校,公立,極偏,6,9,12,90.48,1,2
113,[15]花蓮縣,玉里鎮,國小,154660,縣立玉里國小,永昌分校,公立,偏遠,0,0,0,0,0,0
113,[16]澎湖縣,馬公市,國小,164601,縣立馬公國小,虎井分班,公立,特偏,0,0,0,0,0,0
113,[16]澎湖縣,西嶼鄉,國小,164634,縣立池東國小,竹灣分班,公立,特偏,1,2,0,0,0,0
113,[71]金門縣,金寧鄉,國小,714604,縣立賢庵國小,垵湖分校,公立,偏遠,6,19,13,0,5,2
113,[01]新北市,瑞芳區,國中,014545,市立欽賢國中,鼻頭分部,公立,偏遠,3,6,6,0,1,0
113,[04]新竹縣,寶山鄉,國中,044517,縣立寶山國中,莒光分部,公立,偏遠,3,9,0,33.33,4,0
113,[05]苗栗縣,銅鑼鄉,國中,054507,縣立文林國中,文隆分部,公立,偏遠,3,27,22,2.04,9,9
113,[09]雲林縣,褒忠鄉,附設國中,094308,縣立古坑華德福實驗高級中學,國中部潮厝分班,公立,偏遠,3,38,22,0,5,8
113,[10]嘉義縣,番路鄉,國中,104522,縣立民和國中,慈輝分校,公立,偏遠,3,8,5,7.69,5,1
113,[16]澎湖縣,馬公市,國中,164502,縣立中正國中,虎井分部,公立,特偏,2,0,3,0,0,3
